311,01,1,BIM,BIMA HOSPIT,,0,28,,,18
311,01,1,PIP,PIPLANI PET,,0,29,,,18
311,01,1,KAL,KALPANA NAG,,0,30,,,18
311,01,1,RAT,RATNAGIRI,,0,31,,,18
311,01,1,ANA,ANAND NAGAR,,0,32,,,20
311,01,1,SID,SIDDARDH LA,,0,33,,,20
311,01,1,ORI,ORIENTAL CO,,0,34,,,20
311,01,1,NRI,NRI COLLEGE,,0,35,,,22
311,01,1,BYP,BYPASS,,0,36,,,22
311,01,1,LNC,LNCT,,0,37,,,24
311,01,2,MIL,MILITARY GA,,0,2,,,0
311,01,2,PGB,PGBT COLLEG,,0,3,,,5
311,01,2,GIT,GITANJALI C,,0,4,,,5
311,01,2,DIG,DIG CHOURAH,,0,5,,,5
311,01,2,KAJ,KAJI CAMP,,0,6,,,5
311,01,2,SIN,SINDHI COLO,,0,7,,,5
311,01,2,BHO,BHOPAL TALK,,0,8,,,7
311,01,2,NAD,NADARA BUS ,,0,9,,,7
311,01,2,BHO,BHOPAL STAT,,0,10,,,7
311,01,2,BHA,BHARAT TALK,,0,11,,,9
311,01,2,BHO,BHOPAL STAT,,0,12,,,9
311,01,2,KAM,KAMPU KA BA,,0,13,,,9
311,01,2,PUS,PUSHPA NAGA,,0,14,,,9
311,01,2,GRE,GREEN PARK,,0,15,,,9
311,01,2,ASH,ASHOKA GARD,,0,16,,,12
311,01,2,ASH,ASHOKA GARD,,0,17,,,12
311,01,2,SWA,SWAMI VIVEK,,0,18,,,12
311,01,2,PRA,PRABHAT PET,,0,19,,,12
311,01,2,APS,APSARA TALK,,0,20,,,14
311,01,2,BIJ,BIJLI COLON,,0,21,,,14
311,01,2,GOV,GOVINDPURA,,0,22,,,14
311,01,2,ITI,ITI,,0,23,,,16
311,01,2,CPR,CPRI COLONY,,0,24,,,16
311,01,2,JK ,JK ROAD,,0,25,,,16
311,01,2,BHE,BHEL GATE,,0,26,,,16
311,01,2,JUB,JUBILY GATE,,0,27,,,16
311,01,2,BIM,BIMA HOSPIT,,0,28,,,16
311,01,2,PIP,PIPLANI PET,,0,29,,,18
311,01,2,KAL,KALPANA NAG,,0,30,,,18
311,01,2,RAT,RATNAGIRI,,0,31,,,18
311,01,2,ANA,ANAND NAGAR,,0,32,,,18
311,01,2,SID,SIDDARDH LA,,0,33,,,20
311,01,2,ORI,ORIENTAL CO,,0,34,,,20
311,01,2,NRI,NRI COLLEGE,,0,35,,,20
